,Epoch,Train_Loss,Test_Loss
0,1,0.0356920932730039,4.358307838439941
1,2,0.025588897056877613,4.261155128479004
2,3,0.027910211433966953,4.411433696746826
3,4,0.025829803198575974,4.1774702072143555
4,5,0.02488853471974532,4.398411273956299
5,6,0.020079548781116802,4.530848979949951
6,7,0.0226631797850132,4.073343276977539
7,8,0.020715633407235146,4.376766204833984
8,9,0.016838659221927326,4.536335468292236
9,10,0.021703943610191345,4.40925407409668
10,11,0.015401306251684824,4.489003658294678
11,12,0.015192007025082907,4.288969039916992
12,13,0.023107596362630527,4.658203125
13,14,0.011382450039188067,4.489795207977295
14,15,0.013202442477146784,4.535861015319824
15,16,0.024986103177070618,4.8223066329956055
16,17,0.021660244402786095,4.394983291625977
17,18,0.012142270182569822,4.414007186889648
18,19,0.03023762380083402,4.476219177246094
19,20,0.01888744067400694,4.531212329864502
20,21,0.01639140583574772,4.828467845916748
21,22,0.01753821161886056,4.570100784301758
22,23,0.010786411507676045,4.557301044464111
23,24,0.01634609109411637,4.679138660430908
24,25,0.010831554420292377,4.696504592895508
25,26,0.014130923276146254,4.4512128829956055
26,27,0.01217633206397295,4.66908073425293
27,28,0.012018803507089615,5.087642192840576
28,29,0.018355191685259342,4.695736885070801
29,30,0.01120177780588468,4.7951555252075195
30,31,0.009154346616317829,4.681245803833008
31,32,0.01003328338265419,4.483107089996338
32,33,0.008585809264332056,4.5702104568481445
33,34,0.008705186347166697,4.618440628051758
34,35,0.007560762266318004,4.221128940582275
35,36,0.007905928418040276,4.412438869476318
36,37,0.00922566264246901,4.408085346221924
37,38,0.007809961369882028,4.741076946258545
38,39,0.006722937027613322,4.610681056976318
39,40,0.008627568992475668,4.539530277252197
40,41,0.012671762146055698,4.42200231552124
41,42,0.01025711807111899,4.347251892089844
42,43,0.01220028412838777,4.628336429595947
43,44,0.006588893321653207,4.576239109039307
44,45,0.007230823238690694,4.626368522644043
45,46,0.007548762485384941,4.631377220153809
46,47,0.008555446906636158,4.628272533416748
47,48,0.006135667519023021,4.770350933074951
48,49,0.009143650842209658,4.919971942901611
49,50,0.00910494833563765,4.838099002838135
