,EPOCH,Train_Accuracy,Test_Accuracy
0,1,0.0,0.0
1,2,9.30232558139535,4.545454545454546
2,3,36.04651162790697,9.090909090909092
3,4,50.0,13.636363636363637
4,5,58.13953488372093,9.090909090909092
5,6,75.5813953488372,9.090909090909092
6,7,77.90697674418605,4.545454545454546
7,8,89.53488372093024,4.545454545454546
8,9,94.18604651162791,0.0
9,10,96.51162790697674,4.545454545454546
10,11,97.67441860465117,18.181818181818183
11,12,100.0,9.090909090909092
12,13,98.83720930232558,4.545454545454546
13,14,97.67441860465117,4.545454545454546
14,15,100.0,4.545454545454546
15,16,96.51162790697674,9.090909090909092
16,17,98.83720930232558,4.545454545454546
17,18,100.0,9.090909090909092
18,19,97.67441860465117,4.545454545454546
19,20,97.67441860465117,9.090909090909092
20,21,98.83720930232558,4.545454545454546
21,22,100.0,9.090909090909092
22,23,100.0,4.545454545454546
23,24,100.0,4.545454545454546
24,25,98.83720930232558,9.090909090909092
25,26,100.0,9.090909090909092
26,27,100.0,4.545454545454546
27,28,100.0,9.090909090909092
28,29,100.0,4.545454545454546
29,30,100.0,9.090909090909092
30,31,100.0,4.545454545454546
31,32,98.83720930232558,9.090909090909092
32,33,98.83720930232558,4.545454545454546
33,34,100.0,4.545454545454546
34,35,100.0,4.545454545454546
35,36,97.67441860465117,4.545454545454546
36,37,100.0,0.0
37,38,98.83720930232558,4.545454545454546
38,39,100.0,9.090909090909092
39,40,98.83720930232558,4.545454545454546
40,41,100.0,4.545454545454546
41,42,97.67441860465117,4.545454545454546
42,43,100.0,4.545454545454546
43,44,98.83720930232558,4.545454545454546
44,45,100.0,9.090909090909092
45,46,97.67441860465117,4.545454545454546
46,47,100.0,9.090909090909092
47,48,100.0,9.090909090909092
48,49,100.0,4.545454545454546
49,50,100.0,9.090909090909092
