,Epoch,Train_Loss,Test_Loss
0,1,0.17735444009304047,2.1205801963806152
1,2,0.17484402656555176,2.582221746444702
2,3,0.18006262183189392,2.441519260406494
3,4,0.19619440287351608,2.43886661529541
4,5,0.1680712327361107,2.54358172416687
5,6,0.1681438572704792,2.387342929840088
6,7,0.12501303479075432,2.6153955459594727
7,8,0.11127939820289612,2.3868236541748047
8,9,0.1334323137998581,2.655241012573242
9,10,0.1045912653207779,2.720276117324829
10,11,0.09003681316971779,2.46724534034729
11,12,0.09282663837075233,2.366142511367798
12,13,0.08382469788193703,2.6178791522979736
13,14,0.07223566435277462,2.427534341812134
14,15,0.058889761567115784,2.7367892265319824
15,16,0.057609010487794876,2.45182728767395
16,17,0.06149481609463692,2.6474053859710693
17,18,0.05631060339510441,2.6058332920074463
18,19,0.08101611398160458,2.6561121940612793
19,20,0.07976086996495724,2.5937366485595703
20,21,0.054842112585902214,2.782650947570801
21,22,0.04096287302672863,2.798475742340088
22,23,0.0640453826636076,2.667020320892334
23,24,0.05706588551402092,2.6220462322235107
24,25,0.0574659276753664,2.5811707973480225
25,26,0.048825325444340706,2.777017116546631
26,27,0.055131202563643456,2.702141761779785
27,28,0.04172157496213913,2.4140424728393555
28,29,0.04698839597404003,2.6437034606933594
29,30,0.04027211107313633,2.4778261184692383
30,31,0.02882260363548994,2.6578657627105713
31,32,0.030309993773698807,2.8150060176849365
32,33,0.03292721975594759,2.8319246768951416
33,34,0.039294091053307056,2.7589967250823975
34,35,0.042094944044947624,2.6545138359069824
35,36,0.03544055204838514,2.5074219703674316
36,37,0.029722205363214016,2.5955934524536133
37,38,0.02663570176810026,2.695260763168335
38,39,0.01956361159682274,2.746504306793213
39,40,0.028614502400159836,2.66149640083313
40,41,0.023228087462484837,2.6257760524749756
41,42,0.03731291554868221,2.881700038909912
42,43,0.028807627968490124,2.4909868240356445
43,44,0.02088572457432747,2.5882132053375244
44,45,0.02359519712626934,2.766845703125
45,46,0.05301015730947256,2.547389507293701
46,47,0.024215660523623228,2.7250051498413086
47,48,0.02469808328896761,2.445061683654785
48,49,0.021533871069550514,2.8486852645874023
49,50,0.023096869233995676,2.5217299461364746
