,EPOCH,Train_Accuracy,Test_Accuracy
0,1,1.1627906976744187,18.181818181818183
1,2,5.813953488372093,22.727272727272727
2,3,31.3953488372093,27.272727272727273
3,4,40.69767441860465,27.272727272727273
4,5,53.48837209302326,27.272727272727273
5,6,58.13953488372093,22.727272727272727
6,7,74.4186046511628,22.727272727272727
7,8,80.23255813953489,22.727272727272727
8,9,83.72093023255815,18.181818181818183
9,10,87.20930232558139,18.181818181818183
10,11,90.69767441860465,13.636363636363637
11,12,90.69767441860465,13.636363636363637
12,13,94.18604651162791,18.181818181818183
13,14,100.0,13.636363636363637
14,15,94.18604651162791,18.181818181818183
15,16,95.34883720930233,18.181818181818183
16,17,100.0,22.727272727272727
17,18,96.51162790697674,13.636363636363637
18,19,98.83720930232558,18.181818181818183
19,20,98.83720930232558,13.636363636363637
20,21,100.0,13.636363636363637
21,22,100.0,13.636363636363637
22,23,97.67441860465117,13.636363636363637
23,24,97.67441860465117,18.181818181818183
24,25,100.0,22.727272727272727
25,26,97.67441860465117,22.727272727272727
26,27,98.83720930232558,13.636363636363637
27,28,98.83720930232558,18.181818181818183
28,29,100.0,18.181818181818183
29,30,98.83720930232558,18.181818181818183
30,31,98.83720930232558,18.181818181818183
31,32,100.0,27.272727272727273
32,33,100.0,18.181818181818183
33,34,98.83720930232558,13.636363636363637
34,35,100.0,18.181818181818183
35,36,100.0,13.636363636363637
36,37,100.0,18.181818181818183
37,38,100.0,13.636363636363637
38,39,100.0,18.181818181818183
39,40,100.0,13.636363636363637
40,41,98.83720930232558,13.636363636363637
41,42,100.0,18.181818181818183
42,43,100.0,13.636363636363637
43,44,100.0,18.181818181818183
44,45,100.0,13.636363636363637
45,46,100.0,18.181818181818183
46,47,100.0,18.181818181818183
47,48,100.0,18.181818181818183
48,49,100.0,18.181818181818183
49,50,98.83720930232558,18.181818181818183
