,EPOCH,Train_Accuracy,Test_Accuracy
0,1,1.1627906976744187,0.0
1,2,6.976744186046512,4.545454545454546
2,3,32.55813953488372,0.0
3,4,48.83720930232558,18.181818181818183
4,5,55.81395348837209,22.727272727272727
5,6,68.6046511627907,18.181818181818183
6,7,77.90697674418605,31.818181818181817
7,8,81.3953488372093,40.90909090909091
8,9,83.72093023255815,22.727272727272727
9,10,93.02325581395348,27.272727272727273
10,11,95.34883720930233,13.636363636363637
11,12,93.02325581395348,18.181818181818183
12,13,95.34883720930233,22.727272727272727
13,14,95.34883720930233,18.181818181818183
14,15,98.83720930232558,18.181818181818183
15,16,97.67441860465117,27.272727272727273
16,17,96.51162790697674,22.727272727272727
17,18,98.83720930232558,18.181818181818183
18,19,97.67441860465117,18.181818181818183
19,20,98.83720930232558,22.727272727272727
20,21,97.67441860465117,18.181818181818183
21,22,100.0,18.181818181818183
22,23,98.83720930232558,27.272727272727273
23,24,98.83720930232558,27.272727272727273
24,25,96.51162790697674,22.727272727272727
25,26,100.0,18.181818181818183
26,27,97.67441860465117,18.181818181818183
27,28,100.0,22.727272727272727
28,29,100.0,27.272727272727273
29,30,97.67441860465117,22.727272727272727
30,31,98.83720930232558,22.727272727272727
31,32,100.0,22.727272727272727
32,33,98.83720930232558,18.181818181818183
33,34,100.0,22.727272727272727
34,35,100.0,18.181818181818183
35,36,97.67441860465117,18.181818181818183
36,37,98.83720930232558,22.727272727272727
37,38,100.0,18.181818181818183
38,39,100.0,18.181818181818183
39,40,100.0,22.727272727272727
40,41,100.0,22.727272727272727
41,42,98.83720930232558,18.181818181818183
42,43,100.0,27.272727272727273
43,44,98.83720930232558,22.727272727272727
44,45,100.0,22.727272727272727
45,46,100.0,22.727272727272727
46,47,98.83720930232558,18.181818181818183
47,48,100.0,22.727272727272727
48,49,100.0,18.181818181818183
49,50,100.0,22.727272727272727
