,EPOCH,Train_Loss,Test_Loss
0,1,5.458016872406006,5.191120624542236
1,2,4.779151916503906,4.640269756317139
2,3,3.6392138799031577,3.811856985092163
3,4,1.9836187362670898,3.9667351245880127
4,5,1.3323289553324382,5.162760257720947
5,6,1.212766945362091,4.830317974090576
6,7,0.7668517430623373,3.7449448108673096
7,8,0.5804585913817087,3.6853418350219727
8,9,0.5594096581141154,4.275359630584717
9,10,0.2062892218430837,5.279417037963867
10,11,0.18507050722837448,6.513282775878906
11,12,0.18519788732131323,6.201318740844727
12,13,0.1396527929852406,7.632347106933594
13,14,0.09283405790726344,8.81264591217041
14,15,0.08954828729232152,6.808588981628418
15,16,0.04363675725956758,6.8128275871276855
16,17,0.07620945045103629,7.345593452453613
17,18,0.02119945626085003,8.156475067138672
18,19,0.16414209206899008,9.172102928161621
19,20,0.06432499317452312,8.835455894470215
20,21,0.06214421987533569,7.3629608154296875
21,22,0.006961763991663854,8.139721870422363
22,23,0.04074010672047734,7.581024646759033
23,24,0.02500482213993867,9.41480827331543
24,25,0.04381151202445229,8.65703010559082
25,26,0.018066774122416973,8.915879249572754
26,27,0.08389125143488248,8.398892402648926
27,28,0.016743174754083157,8.812073707580566
28,29,0.012235615712900957,8.01203441619873
29,30,0.09349566511809826,8.145998001098633
30,31,0.019409957341849804,8.691375732421875
31,32,0.01153168447005252,9.278804779052734
32,33,0.028122519453366596,8.426383972167969
33,34,0.006689416555066903,8.952620506286621
34,35,0.004011502974511434,8.146384239196777
35,36,0.07068710937164724,8.61367416381836
36,37,0.017073844132634502,8.760909080505371
37,38,0.003071703171978394,9.16719913482666
38,39,0.0031308551551774144,8.42795181274414
39,40,0.009680001841237148,8.4550199508667
40,41,0.008129612416572249,7.839696884155273
41,42,0.020878197780499857,8.160979270935059
42,43,0.0014931934808070462,9.705379486083984
43,44,0.018980277702212334,7.896716117858887
44,45,0.005108929316823681,9.158629417419434
45,46,0.0036155105723689,8.768624305725098
46,47,0.03720341964314381,8.93380355834961
47,48,0.0007485640235245228,8.09187126159668
48,49,0.006007866885435457,9.252541542053223
49,50,0.0018303922455136974,9.84385871887207
