,EPOCH,Train_Accuracy,Test_Accuracy
0,1,1.1627906976744187,4.545454545454546
1,2,8.13953488372093,9.090909090909092
2,3,26.74418604651163,0.0
3,4,40.69767441860465,9.090909090909092
4,5,47.674418604651166,18.181818181818183
5,6,65.11627906976744,13.636363636363637
6,7,74.4186046511628,9.090909090909092
7,8,83.72093023255815,18.181818181818183
8,9,88.37209302325581,22.727272727272727
9,10,88.37209302325581,18.181818181818183
10,11,93.02325581395348,18.181818181818183
11,12,95.34883720930233,13.636363636363637
12,13,95.34883720930233,22.727272727272727
13,14,94.18604651162791,18.181818181818183
14,15,98.83720930232558,18.181818181818183
15,16,96.51162790697674,18.181818181818183
16,17,100.0,18.181818181818183
17,18,100.0,18.181818181818183
18,19,97.67441860465117,27.272727272727273
19,20,97.67441860465117,18.181818181818183
20,21,100.0,18.181818181818183
21,22,96.51162790697674,18.181818181818183
22,23,100.0,18.181818181818183
23,24,97.67441860465117,18.181818181818183
24,25,97.67441860465117,18.181818181818183
25,26,96.51162790697674,18.181818181818183
26,27,100.0,18.181818181818183
27,28,98.83720930232558,18.181818181818183
28,29,98.83720930232558,13.636363636363637
29,30,100.0,18.181818181818183
30,31,100.0,18.181818181818183
31,32,100.0,18.181818181818183
32,33,100.0,18.181818181818183
33,34,100.0,18.181818181818183
34,35,100.0,22.727272727272727
35,36,100.0,22.727272727272727
36,37,100.0,22.727272727272727
37,38,100.0,18.181818181818183
38,39,100.0,18.181818181818183
39,40,100.0,18.181818181818183
40,41,100.0,18.181818181818183
41,42,100.0,18.181818181818183
42,43,100.0,18.181818181818183
43,44,100.0,18.181818181818183
44,45,100.0,18.181818181818183
45,46,100.0,18.181818181818183
46,47,98.83720930232558,18.181818181818183
47,48,100.0,18.181818181818183
48,49,100.0,18.181818181818183
49,50,100.0,18.181818181818183
